Date,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinage_Average,MSR_Shrinage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinage,EW,ERC_Sample,ERC_CCM,ERC_Shrinage
2020-01,0.004154617179855302,0.004662446265065515,0.053005442223254935,0.05103889685452059,0.044616154051949235,0.049127766359053,-0.0014231276761694084,0.01505552399329661,0.011040419932925519,0.007381168076025051,0.010758056045756833,0.011164744251735238,0.008181276186834115
2020-02,-0.044779665968696286,-0.04945696884748346,0.01814977035976288,-0.002718845162057417,0.013856591613260725,-0.0037274015669550645,-0.06620959019864829,-0.053201662397041806,-0.06022404094713833,-0.053536114948818464,-0.057726368863460976,-0.05259150669761257,-0.05592341357808669
2020-03,0.11409686894086682,0.11793405141445551,0.1126208239379396,0.1403340643588865,0.12130443015074413,0.11475472841906134,0.17795586156892057,0.13262802497018283,0.14276433740614358,0.12060700461105367,0.13711610252242135,0.12169374088703633,0.12741434151987904
2020-04,-0.007391453618075687,-0.01015099650828133,0.04265631217626596,0.028203975570264595,0.04588913610288015,0.03138066336558718,-0.04153462690734766,0.020919232706675173,0.01967266129878566,0.018214250080822662,0.036553776231743315,0.0192251529878835,0.0023389958785637373
2020-05,0.04522947873404316,0.043083994179499534,0.07676846098215201,0.0766402991793604,0.07648650501601045,0.07575946485534883,-0.0053704100284070605,0.0010071341139230756,-0.020020299761503553,-0.03516928757562102,-0.021811682593397913,-0.02879311533558187,-0.03590837426531206
2020-06,0.055846185293736784,0.05369895318317189,0.0836469597769592,0.08060952048117642,0.0782470676955676,0.07543462390317612,0.03445103801399264,0.027343176411231934,0.001788853709377522,-0.020566946034598736,-0.01693886467549179,-0.019457415498424443,-0.01575646413178223
2020-07,0.002388027879760831,0.003554592982744055,0.0326370851456262,0.03229238018532398,0.03220620394524843,0.03130135342445511,-0.010403798142132463,0.028611226388028592,0.02532691691240305,0.0012570273211752357,0.013062763719209707,0.004716612983901202,-0.0007106236256905658
2020-08,0.04747751924595002,0.04454714616656482,0.0635950651450187,0.0632042178278836,0.0635950651450187,0.06131512246173065,0.03532624411299589,0.0536884347419839,0.0476927697250233,0.03418458284758684,0.04251142334321988,0.03766715757812216,0.03807489738107545
2020-09,-0.13462168330984559,-0.1298255019477063,-0.148674693635401,-0.148674693635401,-0.148674693635401,-0.148674693635401,-0.09154222183793415,-0.12339793700693534,-0.10978033017499852,-0.02902719983700847,-0.04922572985488364,-0.040121334113413905,-0.04286129218845828
2020-10,-0.025660996338539563,-0.028272381237766243,-0.05327338753836126,-0.05343714844529347,-0.039236476633968974,-0.04393955317360003,-0.03852108138256416,-0.0274149036638938,-0.025486591565765465,-0.02336291043016638,-0.01776763295965899,-0.01963789012856135,-0.026694842854429017
2020-11,0.010738269414697892,0.012332671934966876,0.0032163656832915636,0.009231568577277947,0.009502140954926776,0.013234532039026239,6.141197889314453e-05,0.0026547057152863894,0.0005452263432568086,-0.007769443362047166,-0.005863439769252634,-0.005956607022382452,-0.0014000048878156245
2020-12,0.025666623759889713,0.021876124940066115,0.018384925830352603,0.017897718796030807,0.023953121174484983,0.021746937132469096,-0.016693520505929968,0.031573016059221484,0.03339786965848228,0.007385572578886827,0.020371863681028703,0.011013400533443633,0.010477197529557324
2021-01,0.0014774886240448244,-0.007169034156547739,-0.005877191404381763,-0.003998322633410017,-3.622318582296709e-05,-0.002499042462879176,-0.017337587592936382,-0.022382064985940954,-0.02048344391624684,-0.015409781246161164,-0.021162332075345694,-0.017038260990341034,-0.020367817968956668
2021-02,0.03119393907813731,0.0006523666748787769,0.046641065335397,-0.010637998528911003,0.03822787896753098,-0.005525660152960014,0.0014694659427393186,0.016768529503110356,0.012372365823178222,0.00829275465402835,0.01239828908712042,0.010250570074673894,0.012907429411205517
2021-03,0.015073047041502977,0.0637909908168159,0.05248530925540233,0.09044300528690635,0.038385189533493534,0.06801445455605737,0.0916061428818751,0.06164893111818704,0.05740515734947784,0.03547866376656909,0.027367264821376757,0.03760216473310093,0.03314991188776675
2021-04,-0.024819700708014016,-0.01608463071399489,-0.0427623982426461,-0.0025736895385196747,-0.026728322641079723,-0.0108025687029776,-0.0019780913861942267,0.0169242505875088,0.010936573826046608,0.012562077470963742,0.007169098042588164,0.014205803102055471,0.012167560602346052
2021-05,0.002682539106774318,-0.0030628252730406733,0.010851949878952272,-0.013668238340329474,0.006512019085743845,-0.006703841716346097,-0.016775202368074647,-0.0028512636261695578,-0.011739631200727867,0.001709172730410581,-0.003007380428807476,0.0013977956299369829,-0.0001497478536686039
2021-06,-0.06719818324091714,-0.05577848512459345,-0.10934425223759205,-0.08230037390943344,-0.08480490854302675,-0.06644191763815321,-0.0390805070663434,-0.03204928463084202,-0.035493678005779634,-0.02587902948276663,-0.033157635618685316,-0.02688676153220915,-0.029374482797012123
2021-07,0.010693301949414178,0.010996153349588748,0.01680140986190818,0.03694281446190075,0.011570889202828892,0.02369080712649741,0.010525579875727423,0.012784314097910716,0.007383086524625603,0.022508386108326155,0.020301519011517617,0.022612588792877118,0.02131192581610807
2021-08,0.015749315664140617,0.01559988296991522,0.011418150353420801,-0.003277435085661256,0.011042111909033857,0.0036089323888417618,-0.007194374211309816,-0.0029341932101551904,-0.0021423974006204907,0.0009709975531503985,6.145353867206371e-05,0.000534397676720508,0.000962061875476952
