Date,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,ERC_Sample,ERC_CCM,ERC_Shrinkage
2020-01,-0.003716987091104234,0.006772456978474275,0.036613884195543615,0.034822700820616406,0.031472320033757856,0.026078339699538503,-0.011670812941568664,0.012598890075786759,0.019012240701886035,0.008412293644460698,0.01261919984122923,0.009355787727978584,0.008160549152699039
2020-02,0.024282153275253494,0.01696013659383353,0.05057136002804291,0.04021218727283955,0.04902622131801594,0.044142786606624566,-0.0005333625491605032,-0.016642214174486206,6.757205434838962e-05,-0.005496072041157145,-0.0058024802573030335,-0.005963519795133375,-0.005093214420652097
2020-03,-0.0583021980325492,-0.06276535388897632,-0.020026553537089712,-0.04920083976088434,-0.025360339807789914,-0.041253130952322664,-0.05395525952265075,0.0010223926391787395,-0.003971163538514965,-0.029121851838267366,-0.009431017879281361,-0.024470112449178585,-0.02805104679028663
2020-04,0.032504900155576014,0.02794495331030013,0.026982148239818107,0.032841562643130796,0.02314602408008919,0.027409729487288672,0.034310524791420244,0.017177800298623685,0.033159557005320695,0.02572175030918851,0.030763122116356442,0.02386986589863174,0.024493636175713873
2020-05,0.01540018909189837,0.028256033809325728,-0.005621519285983157,0.0008236320285799725,-0.0030769310759456705,-0.0044490966977849,0.02107315641238821,-0.002581355954925195,-0.0016904490768133293,0.0037800917116265157,-0.0038643293643319584,0.002404967917810909,0.004607100733643084
2020-06,0.00010731957541074144,-0.000951892461116377,-0.022686485098309835,-0.018514934570068878,-0.013352331948538292,-0.0065372862623068444,-0.01176502303323583,-0.03739416223869125,-0.04316143941696559,-0.04081314652426405,-0.04029354950746975,-0.0399773111756366,-0.035582510262897105
2020-07,-0.05295399430009722,-0.04999276089169001,-0.03805255766961742,-0.033197157456028886,-0.04216939945590238,-0.03337340657825806,-0.05592943651050511,-0.051428140959674344,-0.04820930646977897,-0.07210738798275403,-0.05185268319827511,-0.06714309248407244,-0.062243754079884556
2020-08,-0.04434950201048943,-0.04869121386906295,0.07347654807627096,0.07315469882289623,0.04503985150915775,0.06307473075005536,-0.04293753064518454,0.021184982243933472,-0.002648995672922959,0.04084598251505441,0.02491601414007142,0.03691643564151288,0.028112432594631098
2020-09,0.011175647320443419,0.011895146775424465,-0.03123731909079219,-0.03376137462069507,-0.021855363842119023,-0.02601442752192829,0.004501994680997185,-0.0025555839401589803,0.002946720983580833,-0.00264003449913524,0.0012881479053325163,-0.0017769866388204318,0.0010667959585857667
2020-10,0.014812236575049244,0.017925940272585712,-0.049984973523138576,-0.055221388842772494,-0.05810867467759909,-0.061476664885673195,0.018505363269199902,-0.01454921364626502,0.0008663754162521516,-0.026785267338944638,-0.03173092457722631,-0.026309854752236912,-0.017940838582093943
2020-11,0.03684389935535079,0.035058618621247095,-0.0096160331186292,-0.008782434485284998,0.0018826336634376918,-0.005027411860717354,0.038483688978093594,0.006640363277417478,0.025318184143405652,-0.005202827822797639,-0.0017349163615727095,-0.005675008656236092,0.004892998219544077
2020-12,0.023543033136077956,0.023041813526591997,0.003365964458318927,0.010115042838012664,0.000704772352466701,0.00408897106722389,0.013725474863913116,-0.006381764900473227,-0.001232260859404706,0.007044018102317797,0.0002272795167615406,0.004304105200243532,0.0066217346139268345
2021-01,0.023157170683917698,0.02562333993693222,0.028497621391267054,0.029214247366469593,0.022237261414784663,0.026475756788731174,0.017625054246397424,0.013383229326430896,0.005674407416169438,0.03287031178803297,0.019118262409718204,0.028307014396680277,0.02442443785796805
2021-02,-0.009144138954464007,-0.010134544269518476,-0.014510156978383796,-0.028721099230113702,-0.006189883811794044,-0.017374972649331785,0.002719208992126878,-0.032114481349770616,-0.02906093337471174,-0.008609728863389303,-0.019573840251474066,-0.012079357579469454,-0.012092434819977262
2021-03,0.025406106084255402,0.02180803258169703,0.03483504627031796,0.03809035701836771,0.029831564562726325,0.033850055545735905,0.027552236872573046,0.018747095520805508,0.01987520523278486,0.008484963618523664,-0.0030638569367127037,0.009791862701700904,0.010270119088129935
2021-04,-0.03627606503706413,-0.03444261237727042,-0.04654396759703917,-0.063137665186179,-0.04907068155659821,-0.06184421257674112,-0.043347113978829975,-0.06878968234837321,-0.06877035570769799,-0.05077149510510062,-0.056447243166406286,-0.052289416711541144,-0.0549622867579122
2021-05,-0.0022928144983312884,-0.003907940483051321,-0.06572969307822556,-0.0311178621251232,-0.04297424147312355,-0.028566655979544272,-0.007190917146215634,-0.002088253947063556,-0.0033665466024076496,0.0007268564386296731,-0.003345233495660813,-0.0011335240854676012,-0.004103697641700956
2021-06,-0.02712912937229276,-0.02821714194061816,-0.039146204061745515,-0.029578156840106014,-0.007718328967954852,-0.0129609886442785,-0.023566346428006906,-0.03815706148279567,-0.037333898893224984,-0.018385190807643476,-0.021601317706817183,-0.01833914423170635,-0.021734312510840355
2021-07,-0.015304548777142539,-0.01603163601817231,-0.015910362421207976,-0.008012357684258212,-0.013183433753408219,-0.008834962028571949,-0.013997561724745379,-0.012755320630571306,-0.005591008913112299,-0.020594183853315438,-0.018055213583566227,-0.017776377666554384,-0.01760873078575393
2021-08,0.013166346993700211,-0.0031363730704354184,-0.015028324656655179,-0.024040399577107404,0.0037467006030907427,-0.014557539507566561,0.006335843597772064,0.006597544300120799,0.010586626446563656,0.00048045202737050595,0.007401643300001183,7.387139106025415e-05,0.000721229657271331
