,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
NSC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.004,0.005,0.004
AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.008,0.005,0.002,0.007,0.007,0.007
PSA,0.188,0.15,0.178,0.158,0.194,0.167,0.016,0.0,0.007,0.005,0.002,0.006,0.005,0.005
FDX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.004,0.005,0.004
GWW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.004,0.005,0.005
OKE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.005,0.004,0.005
BDX,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.019,0.005,0.002,0.007,0.006,0.006
PCAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.003,0.004,0.003
AIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.003,0.003,0.003
D,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.08,0.056,0.005,0.002,0.008,0.007,0.008
KMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.005,0.005,0.002,0.006,0.007,0.006
FAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.004,0.004,0.004
ROST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.004,0.003,0.004
LHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.004,0.005,0.004
KR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.005,0.005,0.005
SLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.004,0.004,0.004
CMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.003,0.004,0.003
EXC,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.008,0.018,0.005,0.002,0.008,0.006,0.007
TGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.004,0.005,0.004
GLW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.004,0.003,0.004
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.003,0.003,0.003
AME,0.002,0.0,0.025,0.032,0.019,0.015,0.0,0.0,0.0,0.005,0.002,0.004,0.005,0.005
HES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.005,0.004,0.005
PEG,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.024,0.018,0.005,0.002,0.008,0.006,0.007
XEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.006,0.006,0.006
VLO,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.005,0.002,0.005,0.004,0.004
OXY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.005,0.004,0.005
ED,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.034,0.023,0.005,0.001,0.009,0.007,0.008
