,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
7951.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.005,0.006,0.006
8801.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.009,0.005,0.006,0.006
8802.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.007,0.006,0.007,0.006
8830.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.005,0.004,0.005,0.005
9001.T,0.0,0.064,0.0,0.137,0.0,0.105,0.022,0.025,0.023,0.006,0.001,0.009,0.008,0.009
9005.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.005,0.006,0.006
9007.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.03,0.006,0.001,0.009,0.008,0.009
9008.T,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.011,0.001,0.006,0.001,0.009,0.007,0.008
9009.T,0.749,0.543,0.777,0.505,0.762,0.52,0.0,0.0,0.0,0.006,0.002,0.007,0.007,0.007
9020.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.006,0.008,0.007,0.008,0.008
9021.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.006,0.003,0.008,0.008,0.008
9064.T,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.013,0.029,0.006,0.001,0.009,0.007,0.008
9104.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.003,0.005,0.006,0.005
9107.T,0.251,0.393,0.223,0.349,0.238,0.375,0.0,0.0,0.0,0.006,0.003,0.005,0.005,0.005
9201.T,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.015,0.006,0.002,0.012,0.006,0.008
9202.T,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.038,0.042,0.006,0.003,0.009,0.008,0.008
9301.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.005,0.006,0.005
9501.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.007,0.005,0.006
9502.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.021,0.006,0.003,0.01,0.008,0.009
9503.T,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.013,0.006,0.004,0.011,0.007,0.009
9531.T,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.044,0.042,0.006,0.004,0.011,0.008,0.009
9532.T,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.043,0.036,0.006,0.003,0.011,0.008,0.009
